_________TABLICA NR 1_________
0: i : -5
1: i : -5
2: i : -5
3: i : -5
4: i : -5
5: i : -5
6: i : -5
7: i : -5
8: i : -5
9: i : -4
10: i : -4
11: i : -4
12: i : -4
13: i : -3
14: i : -3
15: i : -3
16: i : -3
17: i : -2
18: i : -2
19: i : -2
20: i : -2
21: i : -2
22: i : -2
23: i : -1
24: i : -1
25: i : -1
26: i : -1
27: i : -1
28: i : 0
29: i : 0
30: i : 0
31: i : 0
32: i : 1
33: i : 1
34: i : 1
35: i : 1
36: i : 2
37: i : 2
38: i : 2
39: i : 2
40: i : 2
41: i : 2
42: i : 3
43: i : 3
44: i : 3
45: i : 3
46: i : 3
47: i : 4
48: i : 4
49: i : 4
50: d : 2.431751
51: d : 2.356363
52: d : 0.380989
53: d : -0.230830
54: d : -0.514264
55: d : -1.002311
56: d : -1.767897
57: d : -1.977638
58: d : -2.202947
59: d : -2.397473
60: d : -2.747305
61: d : -2.783802
62: d : -2.878390
63: d : -2.929606
64: d : -3.161083
65: d : -3.184285
66: d : -3.268186
67: d : -3.307487
68: d : -3.479264
69: d : -3.652152
70: d : -3.670675
71: d : -3.752740
72: d : -3.763304
73: d : -3.890347
74: d : -3.891947
75: d : -3.902163
76: d : -3.927492
77: d : -3.941736
78: d : -3.954958
79: d : -4.218289
80: d : -4.294892
81: d : -4.324542
82: d : -4.331757
83: d : -4.356916
84: d : -4.413529
85: d : -4.432053
86: d : -4.458060
87: d : -4.486888
88: d : -4.570609
89: d : -4.571177
90: d : -4.575123
91: d : -4.583688
92: d : -4.646198
93: d : -4.698722
94: d : -4.707601
95: d : -4.843880
96: d : -4.909538
97: d : -4.914569
98: d : -4.916116
99: d : -4.995502
_________TABLICA NR 2_________
0: i : -5
1: i : -5
2: i : -5
3: i : -5
4: i : -5
5: i : -4
6: i : -4
7: i : -4
8: i : -4
9: i : -4
10: i : -4
11: i : -4
12: i : -4
13: i : -4
14: i : -3
15: i : -3
16: i : -3
17: i : -3
18: i : -3
19: i : -3
20: i : -3
21: i : -2
22: i : -2
23: i : -2
24: i : -1
25: i : -1
26: i : -1
27: i : -1
28: i : -1
29: i : -1
30: i : 0
31: i : 0
32: i : 1
33: i : 1
34: i : 1
35: i : 1
36: i : 1
37: i : 1
38: i : 2
39: i : 3
40: i : 3
41: i : 3
42: i : 3
43: i : 3
44: i : 3
45: i : 3
46: i : 4
47: i : 4
48: i : 4
49: i : 4
50: d : 1.551712
51: d : -0.970047
52: d : -1.231597
53: d : -1.587411
54: d : -2.171927
55: d : -2.215903
56: d : -2.561071
57: d : -2.900216
58: d : -3.254061
59: d : -3.297960
60: d : -3.414249
61: d : -3.469536
62: d : -3.487826
63: d : -3.493527
64: d : -3.576046
65: d : -3.593464
66: d : -3.757240
67: d : -3.789308
68: d : -3.837620
69: d : -3.919348
70: d : -3.928219
71: d : -3.967405
72: d : -4.007355
73: d : -4.086918
74: d : -4.127835
75: d : -4.141731
76: d : -4.142268
77: d : -4.154423
78: d : -4.192962
79: d : -4.298992
80: d : -4.318294
81: d : -4.326063
82: d : -4.340966
83: d : -4.352423
84: d : -4.414835
85: d : -4.495020
86: d : -4.499571
87: d : -4.593880
88: d : -4.594408
89: d : -4.647944
90: d : -4.693983
91: d : -4.726454
92: d : -4.761626
93: d : -4.780151
94: d : -4.824101
95: d : -4.824693
96: d : -4.870153
97: d : -4.890555
98: d : -4.970845
99: d : -4.995327
_________TABLICA NR 3_________
0: i : -5
1: i : -5
2: i : -5
3: i : -5
4: i : -5
5: i : -5
6: i : -5
7: i : -4
8: i : -4
9: i : -4
10: i : -4
11: i : -4
12: i : -4
13: i : -4
14: i : -3
15: i : -3
16: i : -2
17: i : -2
18: i : -2
19: i : -2
20: i : -1
21: i : -1
22: i : -1
23: i : -1
24: i : -1
25: i : 0
26: i : 0
27: i : 1
